subject,body,label
URGENT: Account Verification,Your account will be suspended unless you verify immediately.,1
Meeting tomorrow,Reminder about our meeting tomorrow at 3pm.,0
"You won $1,000,000!",Congratulations! You won our lottery. Send bank details.,1
Project update,The project is progressing well. All tasks on schedule.,0
Click here NOW!,Limited time offer! Click this link to claim your prize.,1
Quarterly report,Please review the attached quarterly financial report.,0
Account suspended,Suspicious activity detected. Verify your account now.,1
Lunch plans,Want to grab lunch on Friday? Let me know.,0
Free money offer,Easy money opportunity. No investment required.,1
Password reset,You requested a password reset. Click here to continue.,0
URGENT: Account Verification,Your account will be suspended unless you verify immediately.,1
Meeting tomorrow,Reminder about our meeting tomorrow at 3pm.,0
"You won $1,000,000!",Congratulations! You won our lottery. Send bank details.,1
Project update,The project is progressing well. All tasks on schedule.,0
Click here NOW!,Limited time offer! Click this link to claim your prize.,1
Quarterly report,Please review the attached quarterly financial report.,0
Account suspended,Suspicious activity detected. Verify your account now.,1
Lunch plans,Want to grab lunch on Friday? Let me know.,0
Free money offer,Easy money opportunity. No investment required.,1
Password reset,You requested a password reset. Click here to continue.,0
URGENT: Account Verification,Your account will be suspended unless you verify immediately.,1
Meeting tomorrow,Reminder about our meeting tomorrow at 3pm.,0
"You won $1,000,000!",Congratulations! You won our lottery. Send bank details.,1
Project update,The project is progressing well. All tasks on schedule.,0
Click here NOW!,Limited time offer! Click this link to claim your prize.,1
Quarterly report,Please review the attached quarterly financial report.,0
Account suspended,Suspicious activity detected. Verify your account now.,1
Lunch plans,Want to grab lunch on Friday? Let me know.,0
Free money offer,Easy money opportunity. No investment required.,1
Password reset,You requested a password reset. Click here to continue.,0
URGENT: Account Verification,Your account will be suspended unless you verify immediately.,1
Meeting tomorrow,Reminder about our meeting tomorrow at 3pm.,0
"You won $1,000,000!",Congratulations! You won our lottery. Send bank details.,1
Project update,The project is progressing well. All tasks on schedule.,0
Click here NOW!,Limited time offer! Click this link to claim your prize.,1
Quarterly report,Please review the attached quarterly financial report.,0
Account suspended,Suspicious activity detected. Verify your account now.,1
Lunch plans,Want to grab lunch on Friday? Let me know.,0
Free money offer,Easy money opportunity. No investment required.,1
Password reset,You requested a password reset. Click here to continue.,0
URGENT: Account Verification,Your account will be suspended unless you verify immediately.,1
Meeting tomorrow,Reminder about our meeting tomorrow at 3pm.,0
"You won $1,000,000!",Congratulations! You won our lottery. Send bank details.,1
Project update,The project is progressing well. All tasks on schedule.,0
Click here NOW!,Limited time offer! Click this link to claim your prize.,1
Quarterly report,Please review the attached quarterly financial report.,0
Account suspended,Suspicious activity detected. Verify your account now.,1
Lunch plans,Want to grab lunch on Friday? Let me know.,0
Free money offer,Easy money opportunity. No investment required.,1
Password reset,You requested a password reset. Click here to continue.,0
